formula,element1,n1,element2,n2,element3,n3,crystalsystem,spacegroup,bandgap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La20Cu9O40,O,40,Cu,9,La,20,triclinic,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La8Cu3O16,O,16,Cu,3,La,8,triclinic,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr2VO4,Sr,2,O,4,V,1,tetragonal,139,0,69000,71450,72219,69012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SrV6O11,Sr,2,O,22,V,12,hexagonal,194,0,261129,93594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SrV6O11,Sr,2,O,22,V,12,hexagonal,194,0,71868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SrV13O18,Sr,1,O,18,V,13,trigonal,148,0,97949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr3Cr2O8,Cr,2,O,8,Sr,3,trigonal,166,0,85055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr4Cr3O9,Cr,9,O,27,Sr,12,trigonal,143,0,85045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SrCr10O15,Cr,20,O,30,Sr,2,orthorhombic,64,0,85053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr5Mn5O13,Sr,5,Mn,5,O,13,tetragonal,83,0,159660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr3Mn2O7,Sr,3,Mn,2,O,7,tetragonal,139,0,51216,51217,51215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr3Mn4O12,Sr,3,Mn,4,O,12,trigonal,164,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr12Mn6O23,Sr,12,Mn,6,O,23,triclinic,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr3Fe2O7,Sr,3,Fe,2,O,7,tetragonal,139,0,74437,163173,74422,74423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr4Fe4O11,Sr,4,Fe,4,O,11,orthorhombic,65,0,91064,163169,249009,249007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr2FeO4,Sr,2,Fe,1,O,4,tetragonal,139,0,69849,74419,74420,74421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr8Fe8O23,Sr,8,Fe,8,O,23,tetragonal,139,0,249000,91063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr16Fe16O41,Sr,16,Fe,16,O,41,triclinic,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
