"2734	I 4/m m m	Li Cu2 P2	ThCr2Si2	Die Kristallstrukturen des Li Cu2 P2 und des Li1.75 Cu1.25 P2	Schlenger", H.;  Jacobs," H.	Acta Crystallographica B (24",1968-38,1982) (1972) 28,  p327-p327,,,,,,,,,,,,,,,,,,,,,
"8155	I 4/m m m	Ba Rh2 B2	ThCr2Si2	Neue ternaere Boride der Erdalkalimetalle mit Rhodium und Iridium	Jung"," W.	Zeitschrift fuer Naturforschung", Teil B. Anorganische Chemie, Organische Chemie (33,1978-41,1986) (1979) 34,  p1221-p1228,,,,,,,,,,,,,,,,,,,,
"18157	I 4/m m m	Th Cr2 Si2	ThCr2Si2	The crystal structure of ternary silicides Th M2 Si2 (M=Cr",Mn,Fe,Co,Ni,"Cu)	Ban", Z.;  Sikirica," M.	Acta Crystallographica (1",1948-23,1967) (1965) 18,  p594-p599,,,,,,,,,,,,,,,,
"18158	I 4/m m m	Th Mn2 Si2	ThCr2Si2	The crystal structure of ternary silicides Th M2 Si2 (M=Cr",Mn,Fe,Co,Ni,"Cu)	Ban", Z.;  Sikirica," M.	Acta Crystallographica (1",1948-23,1967) (1965) 18,  p594-p599,,,,,,,,,,,,,,,,
"18159	I 4/m m m	Th Ni2 Si2	ThCr2Si2	The crystal structure of ternary silicides Th M2 Si2 (M=Cr",Mn,Fe,Co,Ni,"Cu)	Ban", Z.;  Sikirica," M.	Acta Crystallographica (1",1948-23,1967) (1965) 18,  p594-p599,,,,,,,,,,,,,,,,
"18160	I 4/m m m	Th Cu2 Si2	ThCr2Si2	The crystal structure of ternary silicides Th M2 Si2 (M=Cr",Mn,Fe,Co,Ni,"Cu)	Ban", Z.;  Sikirica," M.	Acta Crystallographica (1",1948-23,1967) (1965) 18,  p594-p599,,,,,,,,,,,,,,,,
"18161	I 4/m m m	Th Fe2 Si2	ThCr2Si2	The crystal structure of ternary silicides Th M2 Si2 (M=Cr",Mn,Fe,Co,Ni,"Cu)	Ban", Z.;  Sikirica," M.	Acta Crystallographica (1",1948-23,1967) (1965) 18,  p594-p599,,,,,,,,,,,,,,,,
"18162	I 4/m m m	Th Co2 Si2	ThCr2Si2	The crystal structure of ternary silicides Th M2 Si2 (M=Cr",Mn,Fe,Co,Ni,"Cu)	Ban", Z.;  Sikirica," M.	Acta Crystallographica (1",1948-23,1967) (1965) 18,  p594-p599,,,,,,,,,,,,,,,,
"20299	I 4/m m m	Ca Ni2 Si2	ThCr2Si2	The X-ray diffraction investigation of the system Ca-Ni-Si and alloys of related systems	Bodak", O.I.;  Gladyshevskii," E.I.	Dopovidi Akademii Nauk Ukrains&#39;koi RSR", Seriya A: Fiziko-Tekhnichni ta Matematichni Nauki (1968) 1968,  p944-p947,,,,,,,,,,,,,,,,,,,,,,
"20317	I 4/m m m	Zr Ni2 Si2	ThCr2Si2	The system zirconium-nickel-silicon	Voroshilov", Yu.V.;  Markiv, V.Ya.;  Gladyshevskii," E.I.	Izvestiya Akademii Nauk SSSR", Neorganicheskie Materialy (1967) 3,  p1404-p1408,,,,,,,,,,,,,,,,,,,,,
"23653	I 4/m m m	Co2 Y B2	ThCr2Si2	A ternary rare earth boride with a Th Cr2 Si2-type structure	Niihara", K.;  Shishido, T.;  Yajima," S.	Bulletin of the Chemical Society of Japan (1971) 44",  p3214-p3214,,,,,,,,,,,,,,,,,,,,,,
"25311	I 4/m m m	Ba Mg2 Si2	ThCr2Si2	Neue Vertreter des Th Cr2 Si2 -Typs und dessen Verwandtschaft zum Anti-PbFCl-Gitter	Eisenmann", B.;  May, N.;  Mueller, W.;  Schaefer, H.;  Weiss, A.;  Winter, J.;  Ziegleder," G.	Zeitschrift fuer Naturforschung", Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1970) 25,  p1350-p1352,,,,,,,,,,,,,,
"25312	I 4/m m m	Ba Mg2 Ge2	ThCr2Si2	Neue Vertreter des Th Cr2 Si2 -Typs und dessen Verwandtschaft zum Anti-PbFCl-Gitter	Eisenmann", B.;  May, N.;  Mueller, W.;  Schaefer, H.;  Weiss, A.;  Winter, J.;  Ziegleder," G.	Zeitschrift fuer Naturforschung", Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1970) 25,  p1350-p1352,,,,,,,,,,,,,,
"25313	I 4/m m m	Sr Cu2 Si2	ThCr2Si2	Neue Vertreter des Th Cr2 Si2 -Typs und dessen Verwandtschaft zum Anti-PbFCl-Gitter	Eisenmann", B.;  May, N.;  Mueller, W.;  Schaefer, H.;  Weiss, A.;  Winter, J.;  Ziegleder," G.	Zeitschrift fuer Naturforschung", Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1970) 25,  p1350-p1352,,,,,,,,,,,,,,
"25314	I 4/m m m	Ca Cu2 Si2	ThCr2Si2	Neue Vertreter des Th Cr2 Si2 -Typs und dessen Verwandtschaft zum Anti-PbFcl-Gitter	Eisenmann", B.;  May, N.;  Mueller, W.;  Schaefer, H.;  Weiss, A.;  Winter, J.;  Ziegleder," G.	Zeitschrift fuer Naturforschung", Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1970) 25,  p1350-p1352,,,,,,,,,,,,,,
"25315	I 4/m m m	Ca Cu2 Ge2	ThCr2Si2	Neue Vertreter des Th Cr2 Si2 -Typs und dessen Verwandtschaft zum Anti-PbFCl-Gitter	Eisenmann", B.;  May, N.;  Mueller, W.;  Schaefer, H.;  Weiss, A.;  Winter, J.;  Ziegleder," G.	Zeitschrift fuer Naturforschung", Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1970) 25,  p1350-p1352,,,,,,,,,,,,,,
"25316	I 4/m m m	Ca Ag2 Ge2	ThCr2Si2	Neue Vertreter des Th Cr2 Si2 -Typs und dessen Verwandtschaft zum Anti-PbFCl-Gitter	Eisenmann", B.;  May, N.;  Mueller, W.;  Schaefer, H.;  Weiss, A.;  Winter, J.;  Ziegleder," G.	Zeitschrift fuer Naturforschung", Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1970) 25,  p1350-p1352,,,,,,,,,,,,,,
"25317	I 4/m m m	Sr Ag2 Ge2	ThCr2Si2	Neue Vertreter des Th Cr2 Si2 -Typs und dessen Verwandtschaft zum Anti-PbFCl-Gitter	Eisenmann", B.;  May, N.;  Mueller, W.;  Schaefer, H.;  Weiss, A.;  Winter, J.;  Ziegleder," G.	Zeitschrift fuer Naturforschung", Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1970) 25,  p1350-p1352,,,,,,,,,,,,,,
"25318	I 4/m m m	Ba Ag2 Ge2	ThCr2Si2	Neue Vertreter des Th Cr2 Si2 -Typs und dessen Verwandtschaft zum Anti-PbFCl-Gitter	Eisenmann", B.;  May, N.;  Mueller, W.;  Schaefer, H.;  Weiss, A.;  Winter, J.;  Ziegleder," G.	Zeitschrift fuer Naturforschung", Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1970) 25,  p1350-p1352,,,,,,,,,,,,,,
"25319	I 4/m m m	Ca Zn2 Ge2	ThCr2Si2	Neue Vertreter des Th Cr2 Si2 -Typs und dessen Verwandtschaft zum Anti-PbFCl-Gitter	Eisenmann", B.;  May, N.;  Mueller, W.;  Schaefer, H.;  Weiss, A.;  Winter, J.;  Ziegleder," G.	Zeitschrift fuer Naturforschung", Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1970) 25,  p1350-p1352,,,,,,,,,,,,,,
"25330	I 4/m m m	Sr Ag2 Si2	ThCr2Si2	Neue Verbindungen im Th Cr2 Si2 -Typ	May", N.;  Schaefer," H.	Zeitschrift fuer Naturforschung", Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1972) 27,  p864-p865,,,,,,,,,,,,,,,,,,,
"25331	I 4/m m m	Sr Cd2 Ge2	ThCr2Si2	Neue Verbindungen im Th Cr2 Si2 -Typ	May", N.;  Schaefer," H.	Zeitschrift fuer Naturforschung", Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1972) 27,  p864-p865,,,,,,,,,,,,,,,,,,,
"25332	I 4/m m m	Ba Ag2 Sn2	ThCr2Si2	Meue Verbindungen im Th Cr2 Si2 -Typ	May", N.;  Schaefer," H.	Zeitschrift fuer Naturforschung", Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1972) 27,  p864-p865,,,,,,,,,,,,,,,,,,,
"25333	I 4/m m m	Ca Au2 Ge2	ThCr2Si2	Neue Verbindungen im Th Cr2 Si2 -Typ	May", N.;  Schaefer," H.	Zeitschrift fuer Naturforschung", Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1972) 27,  p864-p865,,,,,,,,,,,,,,,,,,,
"25334	I 4/m m m	Sr Au2 Ge2	ThCr2Si2	Neue Verbindungen im Th Cr2 Si2 -Typ	May", N.;  Schaefer," H.	Zeitschrift fuer Naturforschung", Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1972) 27,  p864-p865,,,,,,,,,,,,,,,,,,,
"25335	I 4/m m m	Ba Au3.16 Ge.84	ThCr2Si2	Meue Verbindungen im Th Cr2 Si2 -Typ	May", N.;  Schaefer," H.	Zeitschrift fuer Naturforschung", Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1972) 27,  p864-p865,,,,,,,,,,,,,,,,,,,
"25336	I 4/m m m	Sr Al2 Pb2	ThCr2Si2	Neue Verbindungen im Th Cr2 Si2 -Typ	May", N.;  Schaefer," H.	Zeitschrift fuer Naturforschung", Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1972) 27,  p864-p865,,,,,,,,,,,,,,,,,,,
