169289	C m m a	Fe Se	PbO(oS8)	Crystal and electronic structure of Fe Se at high pressure and low temperature	Kumar, R.S.;  Zhang Yi;  Sinogeikin, S.;  Xiao Yu Ming;  Kumar, S.;  Chow, P.;  Cornelius, A.L.;  Chen Chang Feng	Journal of Physical Chemistry B (2010) 114,  p12597-p12606
169291	C m m a	Fe Se	PbO(oS8)	Crystal and electronic structure of Fe Se at high pressure and low temperature	Kumar, R.S.;  Zhang Yi;  Sinogeikin, S.;  Xiao Yu Ming;  Kumar, S.;  Chow, P.;  Cornelius, A.L.;  Chen Chang Feng	Journal of Physical Chemistry B (2010) 114,  p12597-p12606
169293	C m m a	Fe Se	PbO(oS8)	Crystal and electronic structure of Fe Se at high pressure and low temperature	Kumar, R.S.;  Zhang Yi;  Sinogeikin, S.;  Xiao Yu Ming;  Kumar, S.;  Chow, P.;  Cornelius, A.L.;  Chen Chang Feng	Journal of Physical Chemistry B (2010) 114,  p12597-p12606
169295	C m m a	Fe Se	PbO(oS8)	Crystal and electronic structure of Fe Se at high pressure and low temperature	Kumar, R.S.;  Zhang Yi;  Sinogeikin, S.;  Xiao Yu Ming;  Kumar, S.;  Chow, P.;  Cornelius, A.L.;  Chen Chang Feng	Journal of Physical Chemistry B (2010) 114,  p12597-p12606
169297	C m m a	Fe Se	PbO(oS8)	Crystal and electronic structure of Fe Se at high pressure and low temperature	Kumar, R.S.;  Zhang Yi;  Sinogeikin, S.;  Xiao Yu Ming;  Kumar, S.;  Chow, P.;  Cornelius, A.L.;  Chen Chang Feng	Journal of Physical Chemistry B (2010) 114,  p12597-p12606
169299	C m m a	Fe Se	PbO(oS8)	Crystal and electronic structure of Fe Se at high pressure and low temperature	Kumar, R.S.;  Zhang Yi;  Sinogeikin, S.;  Xiao Yu Ming;  Kumar, S.;  Chow, P.;  Cornelius, A.L.;  Chen Chang Feng	Journal of Physical Chemistry B (2010) 114,  p12597-p12606
169301	C m m a	Fe Se	PbO(oS8)	Crystal and electronic structure of Fe Se at high pressure and low temperature	Kumar, R.S.;  Zhang Yi;  Sinogeikin, S.;  Xiao Yu Ming;  Kumar, S.;  Chow, P.;  Cornelius, A.L.;  Chen Chang Feng	Journal of Physical Chemistry B (2010) 114,  p12597-p12606
169303	C m m a	Fe Se	PbO(oS8)	Crystal and electronic structure of Fe Se at high pressure and low temperature	Kumar, R.S.;  Zhang Yi;  Sinogeikin, S.;  Xiao Yu Ming;  Kumar, S.;  Chow, P.;  Cornelius, A.L.;  Chen Chang Feng	Journal of Physical Chemistry B (2010) 114,  p12597-p12606
169306	C m m a	Fe Se	PbO(oS8)	Crystal and electronic structure of Fe Se at high pressure and low temperature	Kumar, R.S.;  Zhang Yi;  Sinogeikin, S.;  Xiao Yu Ming;  Kumar, S.;  Chow, P.;  Cornelius, A.L.;  Chen Chang Feng	Journal of Physical Chemistry B (2010) 114,  p12597-p12606
169309	C m m a	Fe Se	PbO(oS8)	Crystal and electronic structure of Fe Se at high pressure and low temperature	Kumar, R.S.;  Zhang Yi;  Sinogeikin, S.;  Xiao Yu Ming;  Kumar, S.;  Chow, P.;  Cornelius, A.L.;  Chen Chang Feng	Journal of Physical Chemistry B (2010) 114,  p12597-p12606
169311	C m m a	Fe Se	PbO(oS8)	Crystal and electronic structure of Fe Se at high pressure and low temperature	Kumar, R.S.;  Zhang Yi;  Sinogeikin, S.;  Xiao Yu Ming;  Kumar, S.;  Chow, P.;  Cornelius, A.L.;  Chen Chang Feng	Journal of Physical Chemistry B (2010) 114,  p12597-p12606
169313	C m m a	Fe Se	PbO(oS8)	Crystal and electronic structure of Fe Se at high pressure and low temperature	Kumar, R.S.;  Zhang Yi;  Sinogeikin, S.;  Xiao Yu Ming;  Kumar, S.;  Chow, P.;  Cornelius, A.L.;  Chen Chang Feng	Journal of Physical Chemistry B (2010) 114,  p12597-p12606
169315	C m m a	Fe Se	PbO(oS8)	Crystal and electronic structure of Fe Se at high pressure and low temperature	Kumar, R.S.;  Zhang Yi;  Sinogeikin, S.;  Xiao Yu Ming;  Kumar, S.;  Chow, P.;  Cornelius, A.L.;  Chen Chang Feng	Journal of Physical Chemistry B (2010) 114,  p12597-p12606
185465	C m m a	Fe Se	PbO(oS8)	The crystal structure of superconducting Fe Se1-x Tex by pulsed neutron diffraction	Lehman, M.C.;  Llobet, A.;  Horigane, K.;  Louca, D.	Journal of Physics: Conference Series (2010) 251,  p012009-1-p012009-4
977900	C m m a	Fe Se	PbO(oS8)	Synthesis and crystal growth of tetragonal beta - Fe1.00 Se	Koz, Cevriye;  Schmidt, Marcus;  Borrmann, Horst;  Burkhardt, Ulrich;  Roessler, Sahana;  Carrillo-Cabrera, Wilder;  Schnelle, Walter;  Schwarz, Ulrich;  Grin, Yuri	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2014) 640, (8-9) p1600-p1606
