superconduct,,,,,,,,,,x
conduct,,,,,,,,,,x
resist,,,,,,,,,,x
metal,,,,,,,,,,x
insulator,,,,,,,,,,x
doped,,,,,,,,,,x
ferromagnetism,,,,,,,,,,x
antiferromagnetism,,,,,,,,,,x
ferrimagnetism,,,,,,,,,,x
magnet,,,,,,,,,,x
\d K,,,,,,,,,,x
DFT,,,,,,,,,,x
DMFT,,,,,,,,,,x
charge density wave,,,,,,,,,,x
band structure,,,,,,,,,,x
susceptibility,,,,,,,,,,x
NMR,,,,,,,,,,x
nuclear magnetic resonance,,,,,,,,,,x
neutron,,,,,,,,,,x
mu-SR,,,,,,,,,,x
x-ray,,,,,,,,,,x
